Bank 0: [0.0, 0.0, 0.0, 0.283203125, 0.224609375, 0.470703125, 1.0625, 0.0, 0.85546875, 0.0, 0.0, 0.9140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39453125, 1.515625, 0.99609375, 0.7734375, 0.271484375, 0.0, 0.0, 0.0, 0.0, 0.49609375, 0.0, 0.33984375, 0.734375, 0.0]
Bank 1: [0.0, 0.0, 0.283203125, 0.224609375, 0.470703125, 1.0625, 0.0, 0.85546875, 0.0, 0.0, 0.9140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39453125, 1.515625, 0.99609375, 0.7734375, 0.271484375, 0.0, 0.0, 0.0, 0.0, 0.49609375, 0.0, 0.33984375, 0.734375, 0.0, 0.0]
Bank 2: [0.0, 0.283203125, 0.224609375, 0.470703125, 1.0625, 0.0, 0.85546875, 0.0, 0.0, 0.9140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39453125, 1.515625, 0.99609375, 0.7734375, 0.271484375, 0.0, 0.0, 0.0, 0.0, 0.49609375, 0.0, 0.33984375, 0.734375, 0.0, 0.0, 0.0]
Bank 3: [0.0, 0.0, 0.39453125, 1.515625, 0.99609375, 0.7734375, 0.271484375, 0.0, 0.0, 0.0, 0.0, 0.49609375, 0.0, 0.33984375, 0.734375, 0.0, 0.0, 0.69140625, 0.0, 0.0, 0.0, 0.11962890625, 0.0, 0.38671875, 0.0, 0.94140625, 1.40625, 0.0, 0.0, 0.0, 0.69140625, 0.0]
Bank 4: [0.0, 0.39453125, 1.515625, 0.99609375, 0.7734375, 0.271484375, 0.0, 0.0, 0.0, 0.0, 0.49609375, 0.0, 0.33984375, 0.734375, 0.0, 0.0, 0.69140625, 0.0, 0.0, 0.0, 0.11962890625, 0.0, 0.38671875, 0.0, 0.94140625, 1.40625, 0.0, 0.0, 0.0, 0.69140625, 0.0, 0.2421875]
Bank 5: [0.39453125, 1.515625, 0.99609375, 0.7734375, 0.271484375, 0.0, 0.0, 0.0, 0.0, 0.49609375, 0.0, 0.33984375, 0.734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11962890625, 0.0, 0.38671875, 0.0, 0.94140625, 1.40625, 0.0, 0.0, 0.0, 0.69140625, 0.0, 0.2421875, 0.0]
Bank 6: [0.0, 0.69140625, 0.0, 0.0, 0.0, 0.11962890625, 0.0, 0.38671875, 0.0, 0.94140625, 1.40625, 0.0, 0.0, 0.0, 0.69140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 7: [0.69140625, 0.0, 0.0, 0.0, 0.11962890625, 0.0, 0.38671875, 0.0, 0.94140625, 1.40625, 0.0, 0.0, 0.0, 0.69140625, 0.0, 0.2421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 8: [0.0, 0.0, 0.0, 0.11962890625, 0.0, 0.38671875, 0.0, 0.94140625, 1.40625, 0.0, 0.0, 0.0, 0.69140625, 0.0, 0.2421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 9: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 10: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 11: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 12: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 13: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
