Bank 0: [np.float32(0.032236576), 0.1396484375, -0.0264892578125, 0.08984375, 0.1435546875, -0.0576171875, -0.038330078125, 0.0830078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 1: [np.float32(-0.018733025), 0.09912109375, 0.1357421875, -0.0966796875, 0.130859375, 0.0038604736328125, -0.12060546875, 0.064453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 2: [np.float32(0.055575132), 0.130859375, 0.09228515625, 0.1083984375, -0.1435546875, -0.07373046875, -0.12890625, -0.03369140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 3: [np.float32(-0.0346241), -0.1181640625, -0.1337890625, 0.06884765625, -0.059326171875, 0.08251953125, -0.08544921875, -0.0390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 4: [np.float32(0.019301414), -0.07177734375, 0.040283203125, 0.032958984375, -0.005096435546875, -0.07861328125, 0.07958984375, 0.0234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 5: [np.float32(-0.048199654), 0.1142578125, -0.0245361328125, -0.041015625, 0.12890625, -0.08056640625, 0.0322265625, -0.134765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 6: [np.float32(1.001358e-05), 0.010498046875, 0.0181884765625, -0.0091552734375, 0.056884765625, 0.10791015625, -0.0791015625, -0.08203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 7: [np.float32(-0.065597534), -0.119140625, 0.1015625, -0.10546875, -0.08544921875, 0.06005859375, -0.026611328125, -0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 8: [np.float32(-0.038770914), 0.058349609375, -0.11181640625, 0.00921630859375, -0.15234375, -0.0634765625, 0.1103515625, -0.068359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 9: [np.float32(-0.029783964), -0.1328125, -0.12890625, -0.1396484375, -0.0703125, -0.031982421875, -0.056640625, 0.10400390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 10: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 11: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
