Bank 0: [np.float32(0.0), np.float32(0.040527344), np.float32(0.44726562), np.float32(1.359375), np.float32(0.0), np.float32(0.0), np.float32(0.32421875), np.float32(0.0), np.float32(0.0), np.float32(0.265625), np.float32(0.0), np.float32(0.0), np.float32(0.055908203), np.float32(0.0), np.float32(0.0), np.float32(0.69140625), 0.6640625, 0.578125, 0.201171875, 0.265625, 0.609375, -0.0, 0.09521484375, -0.0, -0.0, 0.055908203125, 0.318359375, 0.052978515625, 0.296875, 0.27734375, 0.5390625, 0.69140625]
Bank 1: [np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.2890625), np.float32(0.0), np.float32(0.640625), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.19628906), np.float32(0.0), np.float32(0.0), np.float32(0.0), -0.0, -0.0, 0.1708984375, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.1962890625, 0.015380859375, -0.0, -0.0, -0.0, -0.0, -0.0]
Bank 2: [np.float32(0.0), np.float32(0.0), np.float32(0.546875), np.float32(0.0), np.float32(0.60546875), np.float32(0.0), np.float32(0.0), np.float32(1.15625), np.float32(0.0), np.float32(0.60546875), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.39453125), np.float32(0.0), 1.265625, -0.0, -0.0, 0.60546875, 0.51171875, -0.0, 0.138671875, 0.037353515625, -0.0, -0.0, 0.27734375, -0.0, -0.0, 0.39453125, 0.333984375, 0.10693359375]
Bank 3: [np.float32(0.59765625), np.float32(0.0), np.float32(0.72265625), np.float32(0.0), np.float32(0.47851562), np.float32(0.0), np.float32(0.2734375), np.float32(0.014343262), np.float32(0.65234375), np.float32(0.0), np.float32(0.3671875), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), -0.0, 0.65234375, -0.0, -0.0, 0.3046875, 0.3671875, -0.0, -0.0, 0.07666015625, -0.0, 0.12158203125, 0.0712890625, 0.796875, 0.1630859375, -0.0, -0.0]
Bank 4: [np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.7734375), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.515625), np.float32(0.0), 0.287109375, -0.0, 0.1962890625, -0.0, -0.0, -0.0, -0.0, -0.0, 0.74609375, -0.0, -0.0, -0.0, 0.2490234375, 1.515625, 0.064453125, -0.0]
Bank 5: [np.float32(0.0), np.float32(0.0), np.float32(0.27929688), np.float32(0.0), np.float32(0.40039062), np.float32(0.0), np.float32(0.18261719), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.34765625), np.float32(0.28320312), np.float32(0.97265625), np.float32(0.0), 0.71484375, -0.0, 0.3125, 0.1435546875, 0.75390625, -0.0, -0.0, -0.0, -0.0, 0.34765625, -0.0, 0.283203125, 0.322265625, 0.97265625, -0.0, -0.0]
Bank 6: [np.float32(0.0), np.float32(0.23046875), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.7265625), np.float32(0.0), np.float32(0.0), np.float32(0.2265625), np.float32(0.0), np.float32(0.0), np.float32(0.234375), np.float32(0.0), np.float32(0.0), np.float32(0.99609375), np.float32(0.0), -0.0, 0.2265625, -0.0, -0.0, -0.0, -0.0, -0.0, 0.234375, 0.0576171875, -0.0, -0.0, -0.0, 0.75, 0.99609375, 0.3359375, -0.0]
Bank 7: [np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.059814453), np.float32(0.42578125), np.float32(0.044433594), np.float32(0.53515625), np.float32(0.0), np.float32(0.22460938), np.float32(0.010498047), np.float32(0.0), -0.0, 0.059814453125, -0.0, 0.42578125, -0.0, 0.04443359375, -0.0, 0.53515625, 0.09326171875, -0.0, -0.0, 0.224609375, -0.0, 0.010498046875, -0.0, -0.0]
Bank 8: [np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.24023438), np.float32(0.69140625), np.float32(0.57421875), np.float32(0.0), np.float32(0.18945312), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.47070312), np.float32(0.0), np.float32(0.0), -0.0, -0.0, -0.0, 0.189453125, 0.59765625, 0.2216796875, 0.2001953125, 0.1259765625, 0.2041015625, -0.0, -0.0, 0.470703125, 1.40625, 0.01153564453125, 0.251953125, 0.1474609375]
Bank 9: [np.float32(0.0), np.float32(0.9921875), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.47265625), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.7734375), np.float32(0.119628906), -0.0, -0.0, -0.0, -0.0, 0.32421875, -0.0, -0.0, -0.0, 0.578125, -0.0, 0.2177734375, -0.0, 0.390625, 0.7734375, 0.005950927734375, 0.11962890625]
Bank 10: [np.float32(0.36328125), np.float32(0.6640625), np.float32(0.0), np.float32(0.8984375), np.float32(0.0), np.float32(0.20800781), np.float32(0.091308594), np.float32(0.421875), np.float32(0.103027344), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0703125), np.float32(1.0625), np.float32(0.27148438), np.float32(0.0), -0.0, 0.10302734375, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0390625, 1.0703125, 0.73828125, 1.0625, -0.0, 0.271484375, -0.0, -0.0]
Bank 11: [np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.61328125), np.float32(0.0), np.float32(0.0), np.float32(0.40429688), np.float32(0.29882812), np.float32(0.0), np.float32(0.0), np.float32(0.33203125), np.float32(0.0), np.float32(0.014770508), np.float32(0.0), np.float32(0.0), np.float32(0.0), -0.0, -0.0, 0.41015625, -0.0, -0.0, 0.33203125, 0.478515625, -0.0, -0.0, 0.0147705078125, -0.0, -0.0, -0.0, -0.0, 0.265625, -0.0]
Bank 12: [np.float32(0.16503906), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.98046875), np.float32(0.28320312), np.float32(0.22851562), np.float32(0.0), np.float32(0.0), np.float32(0.0), 0.478515625, -0.0, 0.55859375, -0.0, 0.47265625, 0.98046875, -0.0, 0.283203125, 0.06787109375, 0.228515625, 0.271484375, -0.0, 0.11083984375, -0.0, 0.5390625, -0.0]
Bank 13: [np.float32(0.09423828), np.float32(0.0), np.float32(0.76171875), np.float32(0.0), np.float32(0.0), np.float32(0.12890625), np.float32(0.91796875), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.38671875), 0.294921875, -0.0, 0.171875, -0.0, -0.0, -0.0, 0.71484375, 0.140625, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.28515625, 0.38671875]
Bank 14: [np.float32(0.088378906), np.float32(1.109375), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.12060547), np.float32(0.33789062), np.float32(0.0), np.float32(1.2578125), np.float32(0.32421875), np.float32(0.0), np.float32(0.41796875), np.float32(0.0), np.float32(0.37109375), np.float32(0.0), np.float32(0.0), 0.000217437744140625, 1.2578125, 0.27734375, 0.32421875, 0.44140625, 0.43359375, 0.251953125, 0.41796875, 0.4453125, -0.0, -0.0, 0.37109375, 0.099609375, -0.0, 0.58984375, 0.1474609375]
Bank 15: [np.float32(0.0), np.float32(0.35546875), np.float32(0.0), np.float32(0.0), np.float32(0.95703125), np.float32(1.0625), np.float32(0.671875), np.float32(0.0), np.float32(0.1328125), np.float32(0.0), np.float32(0.6875), np.float32(0.0), np.float32(0.0), np.float32(0.85546875), np.float32(0.0), np.float32(0.0), -0.0, 0.1328125, -0.0, -0.0, -0.0, 0.6875, 0.1787109375, -0.0, 0.0157470703125, -0.0, -0.0, 0.85546875, 0.52734375, 0.1181640625, -0.0, -0.0]
Bank 16: [np.float32(0.4375), np.float32(0.16503906), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.16113281), np.float32(0.0), np.float32(0.9453125), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.73828125), np.float32(0.0), np.float32(0.0), np.float32(0.94140625), 0.04052734375, 0.9453125, -0.0, -0.0, 0.34765625, 0.23828125, -0.0, -0.0, -0.0, 0.73828125, -0.0, -0.0, 0.103515625, 0.09521484375, 0.90234375, 0.94140625]
Bank 17: [np.float32(0.0040893555), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0029144287), np.float32(0.0), np.float32(0.0), np.float32(0.052978516), np.float32(0.0), np.float32(0.0), np.float32(0.46875), np.float32(0.6875), np.float32(0.45898438), np.float32(0.0), np.float32(0.0), np.float32(0.0), -0.0, -0.0, 0.0888671875, 0.0247802734375, -0.0, 0.46875, 0.6328125, 0.6875, -0.0, 0.458984375, 0.1484375, -0.0, 0.57421875, -0.0, -0.0, -0.0]
Bank 18: [np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.49804688), np.float32(0.0), np.float32(0.0), np.float32(0.98828125), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.40625), 0.0022735595703125, -0.0, 0.169921875, -0.0, -0.0, -0.0, 0.265625, -0.0, -0.0, -0.0, -0.0, -0.0, 0.3359375, -0.0, -0.0, 1.40625]
Bank 19: [np.float32(0.32226562), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.14355469), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), 0.376953125, -0.0, -0.0, -0.0, 0.416015625, 0.40625, 1.015625, 0.60546875, 0.251953125, 0.1455078125, 0.1318359375, 0.01556396484375, 0.2412109375, 0.1748046875, 0.2216796875, -0.0]
Bank 20: [np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.515625), np.float32(0.0), np.float32(0.0), np.float32(0.010803223), np.float32(0.0), np.float32(0.83984375), np.float32(0.56640625), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.9140625), np.float32(0.49609375), np.float32(0.0), -0.0, 0.83984375, 0.006256103515625, 0.56640625, 0.5625, 0.1572265625, -0.0, -0.0, 0.419921875, -0.0, 0.146484375, 0.9140625, 0.0576171875, 0.49609375, 0.80078125, 0.177734375]
Bank 21: [np.float32(0.52734375), np.float32(0.03955078), np.float32(0.62890625), np.float32(0.0), np.float32(0.0), np.float32(0.83984375), np.float32(0.21191406), np.float32(0.0), np.float32(0.49023438), np.float32(0.1875), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.12402344), np.float32(0.0), -0.0, 0.490234375, -0.0, 0.1875, 0.77734375, -0.0, -0.0, -0.0, 0.94921875, 0.181640625, 0.40625, 0.1796875, -0.0, 0.1240234375, -0.0, -0.0]
Bank 22: [np.float32(0.0), np.float32(0.0), np.float32(0.6640625), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.36328125), np.float32(0.0), np.float32(0.0), np.float32(0.36328125), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), -0.0, 0.36328125, 1.3125, -0.0, -0.0, -0.0, -0.0, 0.36328125, 0.07470703125, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]
Bank 23: [np.float32(0.671875), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0703125), np.float32(1.140625), np.float32(0.0), np.float32(1.171875), np.float32(0.53515625), np.float32(0.0), np.float32(0.0), np.float32(0.4140625), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), 0.29296875, 0.53515625, 0.875, 0.2314453125, 0.07861328125, -0.0, -0.0, 0.4140625, 1.5078125, 0.349609375, -0.0, -0.0, 0.609375, 0.3515625, -0.0, -0.0]
