Bank 0: [np.float32(0.041259766), np.float32(0.421875), np.float32(-0.0), np.float32(0.24023438), np.float32(0.46875), np.float32(0.114746094), np.float32(0.05053711), np.float32(0.1640625), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 1: [np.float32(0.14941406), np.float32(-0.0), np.float32(0.17871094), np.float32(0.36914062), np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(0.1953125), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 2: [np.float32(-0.0), np.float32(-0.0), np.float32(0.12890625), np.float32(-0.0), np.float32(-0.0), np.float32(0.07324219), np.float32(0.3203125), np.float32(0.30664062), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 3: [np.float32(0.09863281), np.float32(0.14257812), np.float32(-0.0), np.float32(-0.0), np.float32(0.328125), np.float32(0.038085938), np.float32(-0.0), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 4: [np.float32(0.23339844), np.float32(-0.0), np.float32(0.25), np.float32(0.34570312), np.float32(-0.0), np.float32(-0.0), np.float32(0.203125), np.float32(0.12792969), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 5: [np.float32(0.13183594), np.float32(0.03930664), np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(0.16015625), np.float32(0.5390625), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 6: [np.float32(-0.0), np.float32(0.453125), np.float32(0.13964844), np.float32(0.39648438), np.float32(0.0703125), np.float32(0.37304688), np.float32(-0.0), np.float32(0.29296875), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 7: [np.float32(0.23730469), np.float32(-0.0), np.float32(0.45117188), np.float32(-0.0), np.float32(0.45898438), np.float32(-0.0), np.float32(0.22949219), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 8: [np.float32(0.01928711), np.float32(0.0063476562), np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(0.032470703), np.float32(-0.0), np.float32(0.29296875), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 9: [np.float32(-0.0), np.float32(0.23242188), np.float32(0.36328125), np.float32(0.41992188), np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(0.48828125), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 10: [np.float32(0.08984375), np.float32(0.44335938), np.float32(-0.0), np.float32(-0.0), np.float32(0.71484375), np.float32(-0.0), np.float32(0.3125), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 11: [np.float32(0.05419922), np.float32(-0.0), np.float32(0.59765625), np.float32(0.10888672), np.float32(-0.0), np.float32(0.17871094), np.float32(0.014770508), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 12: [np.float32(0.019165039), np.float32(0.064941406), np.float32(-0.0), np.float32(0.22949219), np.float32(-0.0), np.float32(0.29492188), np.float32(0.032958984), np.float32(0.1640625), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 13: [np.float32(0.19433594), np.float32(-0.0), np.float32(0.03857422), np.float32(-0.0), np.float32(0.03149414), np.float32(0.017700195), np.float32(0.53515625), np.float32(0.23535156), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 14: [np.float32(-0.0), np.float32(0.13476562), np.float32(-0.0), np.float32(0.27148438), np.float32(0.15234375), np.float32(0.3828125), np.float32(-0.0), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 15: [np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(0.0037994385), np.float32(-0.0), np.float32(0.049804688), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 16: [np.float32(0.31835938), np.float32(0.5078125), np.float32(0.23242188), np.float32(-0.0), np.float32(0.31640625), np.float32(0.15039062), np.float32(-0.0), np.float32(0.296875), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 17: [np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(0.41601562), np.float32(-0.0), np.float32(-0.0), np.float32(0.28515625), np.float32(0.12890625), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 18: [np.float32(0.010803223), np.float32(-0.0), np.float32(0.13378906), np.float32(-0.0), np.float32(-0.0), np.float32(0.12597656), np.float32(0.29101562), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 19: [np.float32(0.083984375), np.float32(-0.0), np.float32(0.010314941), np.float32(0.29101562), np.float32(0.05444336), np.float32(0.08544922), np.float32(0.095703125), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 20: [np.float32(0.3359375), np.float32(0.049560547), np.float32(0.03112793), np.float32(0.045410156), np.float32(-0.0), np.float32(0.005340576), np.float32(0.50390625), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 21: [np.float32(-0.0), np.float32(0.45898438), np.float32(0.048828125), np.float32(0.13085938), np.float32(0.03173828), np.float32(0.43164062), np.float32(-0.0), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 22: [np.float32(0.013916016), np.float32(-0.0), np.float32(0.5), np.float32(-0.0), np.float32(0.59765625), np.float32(-0.0), np.float32(-0.0), np.float32(0.107910156), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 23: [np.float32(0.31835938), np.float32(0.22070312), np.float32(-0.0), np.float32(0.16601562), np.float32(0.012451172), np.float32(0.024169922), np.float32(0.44921875), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 24: [np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(0.3359375), np.float32(-0.0), np.float32(0.07763672), np.float32(-0.0), np.float32(0.3203125), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 25: [np.float32(0.053955078), np.float32(0.40039062), np.float32(0.27929688), np.float32(-0.0), np.float32(0.26171875), np.float32(-0.0), np.float32(0.099609375), np.float32(0.24511719), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
