Bank 0: [np.float32(-0.0), np.float32(0.10107422), np.float32(0.10058594), np.float32(-0.0), np.float32(0.12695312), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 1: [np.float32(0.0050354004), np.float32(0.028686523), np.float32(0.028442383), np.float32(0.04296875), np.float32(-0.0), np.float32(0.024658203), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 2: [np.float32(-0.0), np.float32(-0.0), np.float32(0.10205078), np.float32(0.06933594), np.float32(0.07861328), np.float32(0.02709961), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 3: [np.float32(0.2578125), np.float32(-0.0), np.float32(-0.0), np.float32(0.099121094), np.float32(-0.0), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 4: [np.float32(0.0095825195), np.float32(0.25195312), np.float32(-0.0), np.float32(0.15136719), np.float32(0.25585938), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 5: [np.float32(-0.0), np.float32(0.06542969), np.float32(-0.0), np.float32(0.11425781), np.float32(0.13867188), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 6: [np.float32(0.11621094), np.float32(0.14648438), np.float32(0.020996094), np.float32(0.15917969), np.float32(0.036132812), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 7: [np.float32(-0.0), np.float32(-0.0), np.float32(0.0009727478), np.float32(-0.0), np.float32(0.19433594), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 8: [np.float32(-0.0), np.float32(-0.0), np.float32(0.13183594), np.float32(-0.0), np.float32(-0.0), np.float32(0.020263672), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 9: [np.float32(0.16308594), np.float32(-0.0), np.float32(-0.0), np.float32(0.26953125), np.float32(-0.0), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 10: [np.float32(0.036132812), np.float32(0.14257812), np.float32(-0.0), np.float32(-0.0), np.float32(0.036865234), np.float32(0.029541016), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 11: [np.float32(-0.0), np.float32(0.16699219), np.float32(0.046875), np.float32(0.095703125), np.float32(-0.0), np.float32(0.018432617), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 12: [np.float32(0.025878906), np.float32(0.068359375), np.float32(-0.0), np.float32(0.068847656), np.float32(-0.0), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
