Bank 0: [np.float32(-0.0), np.float32(6.4373016e-05), np.float32(-0.0), np.float32(0.007537842), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 1: [np.float32(0.005004883), np.float32(-0.0), np.float32(0.0016708374), np.float32(0.019042969), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 2: [np.float32(0.004272461), np.float32(0.0047302246), np.float32(-0.0), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 3: [np.float32(0.015258789), np.float32(0.005340576), np.float32(-0.0), np.float32(0.033691406), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 4: [np.float32(0.0019226074), np.float32(-0.0), np.float32(0.01184082), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 5: [np.float32(0.009521484), np.float32(-0.0), np.float32(-0.0), np.float32(0.0010681152), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 6: [np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 7: [np.float32(0.021240234), np.float32(0.007873535), np.float32(-0.0), np.float32(0.0020141602), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 8: [np.float32(0.0022277832), np.float32(0.0004386902), np.float32(-0.0), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 9: [np.float32(0.0047302246), np.float32(-0.0), np.float32(0.0040893555), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 10: [np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(0.007537842), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 11: [np.float32(0.0032806396), np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 12: [np.float32(0.0072021484), np.float32(-0.0), np.float32(-0.0), np.float32(0.001121521), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 13: [np.float32(-0.0), np.float32(0.00060272217), np.float32(0.0073547363), np.float32(0.0067749023), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 14: [np.float32(-0.0), np.float32(0.0016403198), np.float32(0.00970459), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 15: [np.float32(-0.0), np.float32(0.008239746), np.float32(0.018798828), np.float32(0.015991211), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 16: [np.float32(-0.0), np.float32(-0.0), np.float32(6.771088e-05), np.float32(-0.0), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 17: [np.float32(0.003112793), np.float32(-0.0), np.float32(0.0015258789), np.float32(0.008300781), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 18: [np.float32(-0.0), np.float32(-0.0), np.float32(-0.0), np.float32(0.026367188), '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
